자치구,총인구수,발생건수,사망자수,부상자수,신호등횡단보도수
강남구,245139,3785.8,12.8,5165.4,2794
강동구,219979,1213.0,7.6,1599.6,1663
강북구,143249,1079.4,5.4,1382.2,1271
강서구,273685,1605.8,14.8,2176.8,2084
관악구,288132,1275.6,10.0,1638.0,1001
광진구,170639,837.8,4.8,1108.4,1020
구로구,183970,1367.4,9.8,1833.2,1735
금천구,121136,855.4,9.4,1197.6,914
노원구,218325,1465.6,7.2,2008.0,1562
도봉구,139002,647.2,4.6,862.2,991
동대문구,174846,1522.2,12.8,1874.2,1448
동작구,187750,1264.0,7.8,1735.8,1101
마포구,181157,1236.6,11.6,1729.6,1943
서대문구,146422,972.2,7.6,1318.8,1206
서초구,170810,2243.6,9.2,3249.4,2235
성동구,132253,1026.8,8.8,1345.0,1184
성북구,196988,1322.6,9.2,1688.4,1900
송파구,286911,2657.8,11.4,3643.6,2261
양천구,180133,1308.2,9.0,1751.8,1714
영등포구,192568,2144.6,12.0,2969.2,2261
용산구,103236,1020.2,9.8,1371.4,1088
은평구,215655,979.2,9.6,1341.2,1600
종로구,72387,955.2,5.6,1303.0,1112
중구,64863,973.4,3.8,1285.0,1392
중랑구,188661,1421.8,8.0,1898.8,1556
